 
Wed Jan 6 13:39:16 2016 ... X:77.59 Y:-11.36
Wed Jan 6 13:39:17 2016 ... X:80.78 Y:-14.45
Wed Jan 6 13:39:18 2016 ... X:82.73 Y:-12.07
Wed Jan 6 13:39:19 2016 ... X:85.72 Y:-15.53
Wed Jan 6 13:39:21 2016 ... X:90.94 Y:-7.05
Wed Jan 6 13:39:22 2016 ... X:95.13 Y:-9.13
Wed Jan 6 13:39:23 2016 ... X:93.76 Y:-14.71
Wed Jan 6 13:39:24 2016 ... X:94.57 Y:-8.71
Wed Jan 6 13:39:26 2016 ... X:89.35
Wed Jan 6 13:39:27 2016 ... X:88.36
Wed Jan 6 13:39:28 2016 ... X:88.77
Wed Jan 6 13:39:29 2016 ... X:88.21
Wed Jan 6 13:39:31 2016 ... X:87.21 Y:4.28
Wed Jan 6 13:39:32 2016 ... X:87.55 Y:4.73
Wed Jan 6 13:39:33 2016 ... X:91.37 Y:6.49
Wed Jan 6 13:39:34 2016 ... X:93.37 Y:9.61
Wed Jan 6 13:39:36 2016 ... X:97.60 Y:9.61
Wed Jan 6 13:39:37 2016 ... X:99.17 Y:14.70
Wed Jan 6 13:39:38 2016 ... X:97.89 Y:15.29
Wed Jan 6 13:39:39 2016 ... X:98.02 Y:12.30
Wed Jan 6 13:39:41 2016 ... X:101.78 Y:12.47
Wed Jan 6 13:39:42 2016 ... X:103.72 Y:9.08
Wed Jan 6 13:39:43 2016 ... X:105.88 Y:11.35
Wed Jan 6 13:39:44 2016 ... X:107.78 Y:10.41
Wed Jan 6 13:39:46 2016 ... X:113.50 Y:7.87
Wed Jan 6 13:39:47 2016 ... X:113.47 Y:6.93
Wed Jan 6 13:39:48 2016 ... X:116.56 Y:4.72
Wed Jan 6 13:39:49 2016 ... X:117.10 Y:4.26
Wed Jan 6 13:39:51 2016 ... X:118.99 Y:3.91
Wed Jan 6 13:39:52 2016 ... X:117.19 Y:9.17
Wed Jan 6 13:39:53 2016 ... X:123.43 Y:10.43
Wed Jan 6 13:39:54 2016 ... X:128.94 Y:14.53
Wed Jan 6 13:39:56 2016 ... X:128.22 Y:18.75
Wed Jan 6 13:39:57 2016 ... X:127.14 Y:19.30
Wed Jan 6 13:39:58 2016 ... X:133.08 Y:16.24
Wed Jan 6 13:39:59 2016 ... X:127.82 Y:14.65
Wed Jan 6 13:40:01 2016 ... X:131.22 Y:18.95
Wed Jan 6 13:40:02 2016 ... X:132.46 Y:20.74
Wed Jan 6 13:40:03 2016 ... X:137.37 Y:18.52
Wed Jan 6 13:40:04 2016 ... X:142.20 Y:21.33
Wed Jan 6 13:40:06 2016 ... X:142.76 Y:24.50
Wed Jan 6 13:40:07 2016 ... X:149.36 Y:24.67
Wed Jan 6 13:40:08 2016 ... X:147.76 Y:21.04
Wed Jan 6 13:40:10 2016 ... X:145.85 Y:17.94
Wed Jan 6 13:40:11 2016 ... X:147.95 Y:21.62
Wed Jan 6 13:40:12 2016 ... X:147.37 Y:18.70
Wed Jan 6 13:40:13 2016 ... X:152.12 Y:20.63
Wed Jan 6 13:40:15 2016 ... X:153.66 Y:18.07
Wed Jan 6 13:40:16 2016 ... X:155.29 Y:16.83
Wed Jan 6 13:40:17 2016 ... X:161.19 Y:15.92
Wed Jan 6 13:40:18 2016 ... X:162.84 Y:14.21
Wed Jan 6 13:40:20 2016 ... X:164.32 Y:17.66
Wed Jan 6 13:40:21 2016 ... X:163.72 Y:16.12
Wed Jan 6 13:40:22 2016 ... X:165.58 Y:15.62
Wed Jan 6 13:40:23 2016 ... X:171.94 Y:14.75
Wed Jan 6 13:40:25 2016 ... X:170.15 Y:14.42
Wed Jan 6 13:40:26 2016 ... X:176.06 Y:17.89
Wed Jan 6 13:40:27 2016 ... X:180.67 Y:17.38
Wed Jan 6 13:40:28 2016 ... X:184.97 Y:13.59
Wed Jan 6 13:40:30 2016 ... X:188.42 Y:13.40
Wed Jan 6 13:40:31 2016 ... X:192.44 Y:16.43
Wed Jan 6 13:40:32 2016 ... X:193.51 Y:16.48
Wed Jan 6 13:40:33 2016 ... X:196.94 Y:20.24
Wed Jan 6 13:40:35 2016 ... X:201.48 Y:23.82
Wed Jan 6 13:40:36 2016 ... X:202.12 Y:26.15
Wed Jan 6 13:40:37 2016 ... X:203.26 Y:26.27
Wed Jan 6 13:40:38 2016 ... X:204.22 Y:22.65
Wed Jan 6 13:40:40 2016 ... X:203.95 Y:23.57
Wed Jan 6 13:40:41 2016 ... X:202.45 Y:21.06
Wed Jan 6 13:40:42 2016 ... X:200.14 Y:16.37
Wed Jan 6 13:40:43 2016 ... X:204.35 Y:18.31
Wed Jan 6 13:40:45 2016 ... X:200.32 Y:25.19
Wed Jan 6 13:40:46 2016 ... X:207.24 Y:23.98
Wed Jan 6 13:40:47 2016 ... X:207.46 Y:30.94
Wed Jan 6 13:40:48 2016 ... X:205.35 Y:33.54
Wed Jan 6 13:40:50 2016 ... X:207.98 Y:39.89
Wed Jan 6 13:40:51 2016 ... X:206.73 Y:38.16
Wed Jan 6 13:40:52 2016 ... X:206.95 Y:42.04
Wed Jan 6 13:40:54 2016 ... X:207.33 Y:43.22
Wed Jan 6 13:40:55 2016 ... X:205.51 Y:41.76
Wed Jan 6 13:40:56 2016 ... X:205.55 Y:43.62
Wed Jan 6 13:40:57 2016 ... X:207.81 Y:44.89
Wed Jan 6 13:40:59 2016 ... X:203.57 Y:47.53
Wed Jan 6 13:41:00 2016 ... X:202.68 Y:50.10
Wed Jan 6 13:41:01 2016 ... X:203.78 Y:47.99
Wed Jan 6 13:41:02 2016 ... X:201.91 Y:49.70
Wed Jan 6 13:41:04 2016 ... X:202.67 Y:47.29
Wed Jan 6 13:41:05 2016 ... X:202.29 Y:44.83
Wed Jan 6 13:41:06 2016 ... X:202.28 Y:39.73
Wed Jan 6 13:41:07 2016 ... X:198.66 Y:37.03
Wed Jan 6 13:41:09 2016 ... X:195.68 Y:42.04
Wed Jan 6 13:41:10 2016 ... X:198.32 Y:45.21
Wed Jan 6 13:41:11 2016 ... X:201.36 Y:42.51
Wed Jan 6 13:41:12 2016 ... X:204.03 Y:46.03
Wed Jan 6 13:41:14 2016 ... X:202.81 Y:43.12
Wed Jan 6 13:41:15 2016 ... X:200.75 Y:47.85
Wed Jan 6 13:41:16 2016 ... X:201.52 Y:47.46
Wed Jan 6 13:41:17 2016 ... X:204.18 Y:45.37
Wed Jan 6 13:41:19 2016 ... X:203.03 Y:43.24
Wed Jan 6 13:41:20 2016 ... X:202.08 Y:40.84
Wed Jan 6 13:41:21 2016 ... X:203.94 Y:35.64
Wed Jan 6 13:41:22 2016 ... X:199.37 Y:33.39
